timestamp,elapsed_trial,mode,target_color,target_found,cx,cy,bbox_w,bbox_h,area,error_x_px,alpha_rad,rho_m,v_cmd,w_cmd,focal_px
1778190673.4907067,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.0484557,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.1451874,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.2386708,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.3599331,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.4717658,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.6329195,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.7693288,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190674.8838384,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.0032427,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.1236117,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.2093875,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.321901,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.441897,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.5479887,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.6629925,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.786246,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190675.9086354,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.025714,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.1134455,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.2202096,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.3303335,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.4132702,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.51861,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.6446736,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.7473826,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.8701258,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190676.9928217,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.0895884,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.188055,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.2948585,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.4164004,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.5237598,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.6453173,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.7499084,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.862141,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190677.9786093,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.1018252,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.2169795,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.345592,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.4863234,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.621195,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.7410307,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
1778190678.8438723,0.0,IDLE,,0,,,,,,0.0,0.0,,0.0,0.0,
