time,rho,alpha,v_cmd,w_cmd,cost,x,y,theta,state,target_detected
0.46790170669555664,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
0.5668313503265381,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
0.6688501834869385,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
0.7713558673858643,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
0.876882791519165,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
0.9788863658905029,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.069211721420288,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.1777644157409668,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.276684284210205,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.3720483779907227,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.4641869068145752,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.5605642795562744,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.6635935306549072,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.7712013721466064,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.8700087070465088,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
1.9735910892486572,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.0764613151550293,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.1762290000915527,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.2639222145080566,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.360914468765259,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.452336549758911,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.5488719940185547,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.6424245834350586,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
2.7292537689208984,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAIT_COMMAND,0
